Nama Restoran,Nama,Pengguna Gojek Sejak,Rating,Ulasan,Produk yang Dibeli,Tanggal Beli,Waktu Scraping
"McDonald's, Mulyosari Surabaya",M******* A****** F*****,7 Maret 2017,5.0,Yummy deliciouso..,PaNas 2 Ayam Spicy McD Saus Gulai Medium - Big Mac Meal Large,20 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R***** N******,10 Desember 2017,5.0,The best ever! Thankyou so much McDonalds and Gojek for the best services ♥️,PaNas 2 with Fries Large - McFlurry Feat. Oreo,24 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R***,15 Agustus 2015,4.0,Jelly mcflurry-nya Cair,Color Surprise McFlurry +Double Choco Pie - Color Surprise McFlurry +Double Choco Pie - Fish Fillet Burger,18 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",M***,28 November 2016,3.0,Pelayanan untuk gojek jangan dibedain,PaNas Spesial Large - McFlurry Choco - McFlurry Feat. Oreo,20 Maret 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",M***,28 November 2016,3.0,"Tdk bisa request saus sambal
Pesanan salah, dada dikasi sayap 👎",PaNas Spesial Spicy Large - PaNas Spesial Spicy Large - PaNas 2 Large - Boba Iced Coffee Float - McFlurry Feat. Oreo - Iced Coffee Jelly Float,15 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I**** K** S***,19 Mei 2017,3.0,"sudah order less ice boba choco float tapi es batunya masih kebanyakan, bobanya kurang oke, floatnya ga terlihat entah lupa atau sudah leleh",2x Sausage  McMuffin ALC - Boba Chocolate Float - Sausage Wrap - Chicken McMuffin,14 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",J*** G*******,6 September 2016,2.0,"Pesen dada mentok yang datsng paha pentung (paha bawah), tidak sesuai pesanan dan tidak ada konfirmasi",PaNas 1 Ayam Spicy  Gulai McD - Chicken Burger Deluxe Medium,13 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",L****,17 September 2015,4.0,"pesanan menunya ada yg salah. ya gapapa si dimakan juga, tapi kan pengennya bukan itu, jadi sedikit kecewa. tolong lain kali tolong dicek lagi. terimakasih 👍",PaNas 2 Ayam Spicy  Gulai McD - Cheeseburger Deluxe,11 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",A***** J******,17 Mei 2019,1.0,"keterlalu.an sih french fries large nya, kayak small.. gede karton doang. sumpah parah  saya 20 th jadibkonsumen mcd, baru ini dpt ukuran large kyk small, mana ga fresh pula. cabang terpayah !!!!",Strawberry Sundae - Iced Coffee - French Fries Large,10 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",N* H** S**,20 Agustus 2019,3.0,kwalitas rasa ditingkatkan,PaMer 7 Krispy,9 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",F**,8 November 2017,1.0,salah kirim makanan,Color Surprise McFlurry - PaNas 2 Spicy with Fries Large,6 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",M****,28 Mei 2015,1.0,"Minta dada mentok dateng sayap, kalo mmg ga bisa kasih dada mentok kasih laha atas dong woy 😡 bukan dipilihin kecil.. pesen satuan ini..mengecewakan",1pc Krispy Chicken - 2 pcs Krispy Chicken McD,7 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R***,19 September 2018,1.0,PESAN HASHBROWN SUDAH JELAS DI STRUK TERBAYAR TAPI GAK DIKASIH!! KECEWA TOLONG PERBAIKI,PaNas 1 Ayam Krispy Gulai McD - HashBrown - PaNas Spesial Large,2 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I*** M****,28 April 2018,1.0,"Nasi putihnya belum dikasih , kenapa ? Saya sudah WA ke no ***********",PaNas Spesial Medium,2 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",D***,25 Juli 2015,5.0,biar bintang yg berbicara .. 👍,1pc Krispy Chicken - 1pc Spicy Chicken,30 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",L**** Z****,18 Agustus 2015,1.0,"pesennya spicy, dikasihnya ori",PaNas 2 Spicy with Fries Medium - Choco Sundae,30 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",D***** A W,15 September 2019,2.0,Ayam suwirnya dikit banget 😭,2x Nasi Uduk ALC,29 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",N****,25 Maret 2017,4.0,bumbu sebaiknya dipisah agar ayam tidak basah dan masih crispy,PaNas 2 Fries Ayam Spicy Gulai McD,29 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",S***** M*******,19 Juni 2017,3.0,Kopi dan boba nya kurang enak,Boba Iced Coffee Float,27 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",A*****,14 Januari 2020,3.0,bobanya kurang kenyal,Boba Chocolate Float - PaNas 1 Spicy Large,26 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",K*********,25 Februari 2020,2.0,kentangnya berasa kyak beli tempat isinya sm aja kayak medium.,Cheeseburger Meal Large,25 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",B****** N*******,12 April 2020,5.0,mantabz bosku makananya,McFlurry Feat. Oreo,25 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I** Z******,15 Januari 2021,5.0,saya deh sama chef-nya,Cheeseburger+ Double Choco Pie + Coke float - Paket Nasi Uduk McD Ayam Suwir,24 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I**********,25 Desember 2015,1.0,"pesannya 6 ribs, tapi malah dikasih 4 ribs 1 wing dan drumstick",1pc Krispy Chicken - 1pc Spicy Chicken,16 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",L***** 3*,5 April 2020,1.0,SOUS NYA CUMA 1,PaNas 2 Medium - PaNas Spesial Medium,17 April 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I**** P,27 September 2016,5.0,"Terima kasih buat mbak/mas nya yang udah melayani di bulan puasa inii, semangat puasanyaaa!!!",PaNas 1 Spicy Large,16 April 2021,2025-07-11 22:20:01
